"pathway","pval","padj","log2err","ES","NES","size"
"GO:0022008",0.03039580215269,0.29222226561831,0.352487857583619,-0.558912931151891,-1.57949902182686,19
"GO:0022416",0.327800829875519,0.785938013632783,0.156312403073186,-0.303685486506291,-1.07465489971582,49
"GO:0022625",0.335071707953064,0.789214419319698,0.0776798560117236,0.347481428555301,1.08946372453416,54
"GO:0022626",0.515,0.909622731614136,0.0545680646670941,0.296271052692349,0.976663845973021,78
"GO:0022627",0.91164095371669,1,0.0335297167141207,0.239072210021669,0.697510882114047,39
"GO:0022841",0.934343434343434,1,0.0596037042575973,-0.239165852732992,-0.580794255064908,11
"GO:0022848",0.891414141414141,1,0.0618406035753285,-0.264852822036187,-0.643172910006005,11
"GO:0022857",5.3798534763081e-07,6.16377498285585e-05,0.659444398037935,-0.440853709605,-1.94877584342107,208
"GO:0030001",0.791348600508906,1,0.0679922591544058,-0.288457515994561,-0.737483433495671,13
"GO:0030008",0.561056105610561,0.94593637454982,0.0636424081651019,0.412765783144507,0.929479935689859,11
"GO:0030010",0.200507614213198,0.666182995815196,0.156312403073186,-0.499649397440187,-1.24264429683464,12
"GO:0030014",0.712195121951219,1,0.0517405459873163,0.362921767041772,0.803266554856798,10
"GO:0030018",0.00688264965617332,0.137448169881564,0.407017918923954,-0.48767272903037,-1.7116063723624,47
"GO:0030027",0.852713178294574,1,0.0650877566917313,-0.259102757144205,-0.682403230038892,14
"GO:0030031",0.157575757575758,0.599115813708561,0.195789002148949,-0.458904908495759,-1.31187066292557,20
"GO:0030036",4.97206339580746e-05,0.00332299570286465,0.557332238758646,-0.483738918117545,-1.89640098761092,88
"GO:0030041",0.99746192893401,1,0.0567672387487446,-0.168467074788687,-0.418983092470629,12
"GO:0030048",0.996699669966997,1,0.036993251998507,0.168174453146098,0.378700915332867,11
"GO:0030097",0.588815789473684,0.966694499811453,0.0611692626746689,0.40247867881403,0.916875234528616,12
"GO:0030100",0.61323155216285,0.986606877120578,0.0810802057550866,-0.347455365867735,-0.888319984740713,13
"GO:0030134",0.73030303030303,1,0.0810802057550866,-0.28054550278896,-0.801994940369963,20
"GO:0030136",0.587765957446808,0.966145057128664,0.0857844408075645,-0.325379501443657,-0.875280485469243,15
"GO:0030139",0.573487031700288,0.955216198179919,0.0916795246008379,-0.319894602662917,-0.904028487858434,19
"GO:0030140",0.227642276422764,0.684021211109875,0.11331290842208,0.562275399369001,1.24450243536889,10
"GO:0030141",0.702439024390244,1,0.0523759084097997,0.369298266639843,0.8173798688802,10
"GO:0030145",0.272151898734177,0.733856209150327,0.149207542435322,-0.386053909532611,-1.14520251712416,24
"GO:0030148",0.78080229226361,1,0.0417397034728504,0.279740249491797,0.768588327416542,27
"GO:0030150",0.991428571428571,1,0.0303467275556782,0.190245615450058,0.53269506225871,30
"GO:0030154",0.0541802828583511,0.402963690802897,0.321775918075361,-0.376530906416721,-1.39018222059101,66
"GO:0030163",0.363036303630363,0.815560547651404,0.0860347242455604,0.493109458018594,1.11040053716546,11
"GO:0030170",0.0276957153636596,0.284577041399837,0.352487857583619,-0.485963511941722,-1.54672611124331,33
"GO:0030175",0.214470284237726,0.67604446551815,0.152144922367565,-0.524893910921648,-1.24638573963565,10
"GO:0030182",0.010303579664191,0.167956073063653,0.380730400722792,-0.491539234926287,-1.68300223122993,44
