"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0040227",24401.370241157,-0.198084080036477,0.0296752187445976,-6.67506722499017,2.4711886200547e-11,4.29067307844846e-09
"FBgn0027588",38416.5277586307,-0.179361160346115,0.0269173491117685,-6.66340357668045,2.67557612307372e-11,4.59214973215366e-09
"FBgn0037537",9056.63621426766,-0.148058950932836,0.0223307538858826,-6.63027104635451,3.35071021722946e-11,5.6855460185989e-09
"FBgn0000346",6221.69494244207,-0.351215730906461,0.0530094012256461,-6.62553665549691,3.45988860243019e-11,5.80483782151546e-09
"FBgn0036207",1724.34343538469,0.227069268942411,0.0343220526982957,6.61584174287125,3.69443442009114e-11,6.12947719564454e-09
"FBgn0031566",6169.17327385552,-0.187653457919047,0.0283926670496403,-6.60922264157021,3.86343316264229e-11,6.33942681149173e-09
"FBgn0043364",7717.88635672554,-0.71756351932946,0.1086624493092,-6.60360155593059,4.01287170533828e-11,6.4778554223887e-09
"FBgn0037617",1229.86868226505,0.38017727339252,0.0575781655366711,6.60280281334055,4.03456036888661e-11,6.4778554223887e-09
"FBgn0037220",7555.44320889598,-0.132210593743911,0.0200611937992608,-6.59036521290088,4.38745959697723e-11,6.96952624490042e-09
"FBgn0266450",7354.41109083585,0.721546643633039,0.109628569167521,6.58173913161685,4.64976900720477e-11,7.30845798058754e-09
"FBgn0053229",4879.07161142744,0.419929538486038,0.0638879544306469,6.57290630492622,4.93425103053966e-11,7.67481629041857e-09
"FBgn0038804",2268.82838275635,-0.293728779832529,0.0447703913982685,-6.56078204051369,5.35263108090523e-11,8.23974095877081e-09
"FBgn0036759",5228.85732262257,-0.356879879874425,0.0544332057494737,-6.55628995133867,5.51629264775035e-11,8.40502875675593e-09
"FBgn0036121",1041.96145211831,0.430950124512379,0.0658571533876576,6.54371017185727,6.00110468670065e-11,9.0513631496782e-09
"FBgn0262233",31.2209954299448,1.31525606494636,0.201371540269894,6.53148932159707,6.51188659531095e-11,9.72354906411831e-09
"FBgn0034817",2693.0967973442,-0.26462689437038,0.0405343564903818,-6.52845924501532,6.64496872092868e-11,9.82402702385218e-09
"FBgn0015558",3144.69398518697,-0.399202997620366,0.0612548849884374,-6.51708019198338,7.16891052582322e-11,1.0494722742313e-08
"FBgn0038354",643.785636696819,-0.383016749715136,0.0587913486898922,-6.51484883831194,7.27628955655803e-11,1.05485005493713e-08
"FBgn0020653",40401.88011858,-0.198834278270082,0.0305339847909003,-6.51190074376857,7.42057493472631e-11,1.06542331658974e-08
"FBgn0051301",6491.08750403842,-0.18454237989723,0.0284132725981756,-6.49493574735489,8.30688563877492e-11,1.18131825103035e-08
"FBgn0034504",10567.4271213088,-0.186537638192174,0.028736828357578,-6.49123959927135,8.51329585961719e-11,1.19925031863966e-08
"FBgn0036373",3815.60069068608,-0.281947494272189,0.0438754808278296,-6.426083291909,1.30933678207074e-10,1.82719783456825e-08
"FBgn0011642",5970.99837083165,0.278598422150622,0.0434071116926093,6.41826676060683,1.37834577868889e-10,1.90424570701059e-08
"FBgn0035402",12254.6061690054,-0.199345090669439,0.0310652566281591,-6.41697871855799,1.39005345609533e-10,1.90424570701059e-08
"FBgn0037146",57447.4999310866,-0.37384993612206,0.0582981946277819,-6.41271892738685,1.42946928013992e-10,1.94043957191357e-08
"FBgn0263231",49583.7045241049,-0.256788351123945,0.0400800652867096,-6.40688455188457,1.48523194150538e-10,1.99797147302327e-08
"FBgn0062961",250.546771483335,0.604211979885668,0.0946055221192997,6.38664600491018,1.69563537181315e-10,2.26064530106374e-08
"FBgn0028646",26427.6416269815,-0.259203847349424,0.04072366699617,-6.36494369168185,1.95361392375565e-10,2.58153655836454e-08
"FBgn0031161",4603.86790527478,0.189554866964963,0.0297954962959608,6.36186305078126,1.99321125097054e-10,2.61075705258703e-08
